split,threshold,precision,recall,f1,true_positives,false_positives,false_negatives,review_workload,review_rate,false_positive_investigation_cost,missed_fraud_amount,total_estimated_cost
validation,0.05,0.023325062034739455,0.9494949494949495,0.04553160571566965,94,3936,5,4030,0.07074892033285349,19680,1077.85,20757.85
validation,0.1,0.07026143790849673,0.8686868686868687,0.13000755857898716,86,1138,13,1224,0.021488009550226467,5690,2409.44,8099.4400000000005
validation,0.2,0.2709030100334448,0.8181818181818182,0.40703517587939697,81,218,18,299,0.005249113444050419,1090,3139.3199999999997,4229.32
validation,0.3,0.5333333333333333,0.8080808080808081,0.642570281124498,80,70,19,150,0.002633334503704224,350,3140.3199999999997,3490.3199999999997
validation,0.5,0.8351648351648352,0.7676767676767676,0.8,76,15,23,91,0.0015975562655805625,75,3143.32,3218.32
validation,0.7,0.8846153846153846,0.696969696969697,0.7796610169491526,69,9,30,78,0.0013693339419261965,45,3483.82,3528.82
validation,0.9,0.8615384615384616,0.5656565656565656,0.6829268292682927,56,9,43,65,0.0011411116182718304,45,5881.22,5926.22
