split,threshold,true_positives,false_positives,false_negatives,precision,recall,f1,review_workload
validation,0.05,94,3936,5,0.023325062034739455,0.9494949494949495,0.04553160571566965,4030
validation,0.1,86,1138,13,0.07026143790849673,0.8686868686868687,0.13000755857898716,1224
validation,0.2,81,218,18,0.2709030100334448,0.8181818181818182,0.40703517587939697,299
validation,0.3,80,70,19,0.5333333333333333,0.8080808080808081,0.642570281124498,150
validation,0.5,76,15,23,0.8351648351648352,0.7676767676767676,0.8,91
validation,0.7,69,9,30,0.8846153846153846,0.696969696969697,0.7796610169491526,78
validation,0.9,56,9,43,0.8615384615384616,0.5656565656565656,0.6829268292682927,65
