split,threshold,false_positive_count,missed_fraud_count,captured_fraud_count,false_positive_investigation_cost,missed_fraud_amount,captured_fraud_amount,total_estimated_cost
validation,0.05,3936,5,94,19680,1077.85,10012.269999999999,20757.85
validation,0.1,1138,13,86,5690,2409.44,8680.679999999998,8099.4400000000005
validation,0.2,218,18,81,1090,3139.3199999999997,7950.8,4229.32
validation,0.3,70,19,80,350,3140.3199999999997,7949.799999999999,3490.3199999999997
validation,0.5,15,23,76,75,3143.32,7946.8,3218.32
validation,0.7,9,30,69,45,3483.82,7606.299999999999,3528.82
validation,0.9,9,43,56,45,5881.22,5208.9,5926.22
